STATE,ZIP,DOMAIN,CLUSTER,HOMEOWNR,DATASRCE,RFA_2,RFA_2R,RFA_2A,DOMAIN_A,DOMAIN_B
MO,65473-,T2,39,U,D,L4E,L,E,T,2
other,35620,R2,43,H,D,L1F,L,F,R,2
FL,34990,C1,23,U,B,L4D,L,D,C,1
FL,34691,C3,33,H,A,L1F,L,F,C,3
CA,92056,C1,24,H,A,L2E,L,E,C,1
FL,34761-,R2,49,U,B,L2G,L,G,R,2
FL,32174,T2,40,U,B,L2F,L,F,T,2
other,55411,U3,8,H,A,L1F,L,F,U,3
other,70122,U3,8,U,B,L3E,L,E,U,3
other,67218,C3,31,H,B,L1G,L,G,C,3
FL,34748,T2,37,H,C,L1F,L,F,T,2
IL,60646,S1,13,H,A,L3E,L,E,S,1
other,85284,S1,14,H,A,L1F,L,F,S,1
IL,60463,S1,13,H,A,L1G,L,G,S,1
IL,61554,C3,30,H,B,L1G,L,G,C,3
MI,48446,T2,40,H,A,L1F,L,F,T,2
CA,91030,U1,3,U,A,L1F,L,F,U,1
MI,49445,C1,24,U,C,L4F,L,F,C,1
IL,61008,T2,36,U,B,L2G,L,G,T,2
TX,78748,S1,12,H,B,L2G,L,G,S,1
MI,48455,R2,44,H,A,L1F,L,F,R,2
other,99709,T2,40,H,C,L1F,L,F,T,2
WA,98292,T2,40,H,A,L4E,L,E,T,2
IL,60625-,U2,7,H,A,L1F,L,F,U,2
FL,34208,C3,30,H,B,L3F,L,F,C,3
MI,48310,S2,17,U,A,L1G,L,G,S,2
MO,65233,T2,36,H,D,L1F,L,F,T,2
IN,46064,R2,49,U,C,L1F,L,F,R,2
CA,95628,S1,14,H,B,L1G,L,G,S,1
FL,32176,C2,28,H,B,L4D,L,D,C,2
IN,46706,R2,44,U,B,L3E,L,E,R,2
other,97071,R2,45,U,B,L1F,L,F,R,2
TX,78040,U4,10,H,C,L3E,L,E,U,4
CA,91403,S1,15,U,A,L1G,L,G,S,1
TX,77028,C3,32,H,A,L1G,L,G,C,3
other,72761,T2,36,U,C,L1G,L,G,T,2
other,88001,C2,27,H,C,L1F,L,F,C,2
FL,32134,R3,53,U,C,L3E,L,E,R,3
other,36915,R3,51,U,D,L1F,L,F,R,3
CA,95926,C1,24,H,C,L1F,L,F,C,1
MI,49854,T2,36,U,D,L3G,L,G,T,2
other,37217,S1,12,H,B,L4E,L,E,S,1
other,73505,C3,30,U,C,L1F,L,F,C,3
other,59801,C3,31,H,C,L2E,L,E,C,3
NC,27609,C1,22,U,B,L4E,L,E,C,1
other,29604,C3,31,U,B,L3E,L,E,C,3
FL,32801,C1,22,U,B,L2F,L,F,C,1
other,70471,T2,40,U,B,L1F,L,F,T,2
GA,30905,T2,39,U,B,L1F,L,F,T,2
CA,95817-,R2,46,U,B,L4E,L,E,R,2
GA,31206,C2,27,H,B,L1F,L,F,C,2
MI,48911,C3,32,U,B,L2F,L,F,C,3
FL,32789,C2,27,U,B,L4D,L,D,C,2
other,41018,S2,16,H,B,L1G,L,G,S,2
TX,75065,T2,40,U,A,L1F,L,F,T,2
CA,94514,T1,35,H,A,L1G,L,G,T,1
MI,49028,R2,43,H,D,L2F,L,F,R,2
CA,94512,R2,44,H,A,L1F,L,F,R,2
CA,90044,U4,10,U,A,L1F,L,F,U,4
FL,34736,U3,9,U,C,L1F,L,F,U,3
WA,98198,C2,27,H,A,L1F,L,F,C,2
other,38930,T3,41,H,D,L2F,L,F,T,3
NC,27948,T2,40,H,D,L3E,L,E,T,2
other,96326,U4,10,U,U,L2F,L,F,U,4
other,67122,R3,51,U,D,L2F,L,F,R,3
CA,92117,S2,20,H,A,L3G,L,G,S,2
FL,33844,R2,46,U,B,L1E,L,E,R,2
other,55804,R3,51,U,B,L1G,L,G,R,3
CA,94131,U1,1,H,A,L2F,L,F,U,1
other,80915,S2,18,U,B,L1G,L,G,S,2
NC,28560,T2,38,U,C,L4D,L,D,T,2
CA,92592,T1,35,H,A,L1F,L,F,T,1
other,59643,R2,49,U,D,L4E,L,E,R,2
TX,75232,S2,16,H,A,L1F,L,F,S,2
FL,32776,R2,46,H,C,L1F,L,F,R,2
CA,93312,T2,40,U,B,L1G,L,G,T,2
GA,30506,S1,15,U,C,L1G,L,G,S,1
MI,48235,U4,10,H,A,L3D,L,D,U,4
other,70001,U2,5,H,B,L3E,L,E,U,2
WA,98205,T2,40,H,A,L3E,L,E,T,2
GA,30542,T2,40,H,C,L3E,L,E,T,2
MI,48446,T2,38,H,A,L4E,L,E,T,2
WA,98513,T2,39,H,C,L2F,L,F,T,2
other,85282,C1,23,U,A,L2F,L,F,C,1
CA,92020,S1,12,H,A,L1G,L,G,S,1
FL,33838,T2,37,U,B,L3F,L,F,T,2
WA,98902,C1,24,H,C,L2F,L,F,C,1
TX,77573,C1,24,H,A,L3G,L,G,C,1
CA,92113,U4,10,H,A,L2G,L,G,U,4
CA,93550,C3,30,H,A,L1F,L,F,C,3
other,87107,S1,11,H,B,L1F,L,F,S,1
CA,95136,U1,2,H,A,L1F,L,F,U,1
CA,92256,R2,46,H,A,L1F,L,F,R,2
FL,33308,C1,23,H,A,L3E,L,E,C,1
IN,47408,C1,24,U,C,L1F,L,F,C,1
NC,27406,C3,32,U,B,L2F,L,F,C,3
NC,28609,R3,51,U,B,L1F,L,F,R,3
other,36037,R3,50,U,D,L3G,L,G,R,3
FL,32541,R1,42,U,D,L3E,L,E,R,1
other,72908,S1,11,U,C,L4D,L,D,S,1
CA,93311,T2,40,H,B,L2F,L,F,T,2
CA,94536,S1,12,H,A,L1F,L,F,S,1
IL,62901,T1,35,H,C,L1E,L,E,T,1
IL,60452,S2,18,U,A,L1F,L,F,S,2
CA,90302-,U1,3,H,A,L1F,L,F,U,1
other,59454,R2,43,U,D,L3F,L,F,R,2
FL,33827,R2,40,H,B,L3F,L,F,R,2
FL,34243,S1,12,H,B,L2G,L,G,S,1
TX,78240,S1,12,H,B,L1F,L,F,S,1
GA,30084,S1,12,H,A,L1F,L,F,S,1
FL,33066,C2,29,H,A,L2E,L,E,C,2
CA,90802,U2,4,U,A,L3E,L,E,U,2
NC,27514,C1,22,H,B,L1G,L,G,C,1
other,55106,U2,5,H,A,L4E,L,E,U,2
CA,95123,U1,3,H,A,L3F,L,F,U,1
MO,63301,S1,15,H,A,L3G,L,G,S,1
WI,53142,S2,18,H,A,L2E,L,E,S,2
MO,63126,S1,12,H,A,L2E,L,E,S,1
TX,75158,R2,49,H,A,L3E,L,E,R,2
other,67801,T2,39,U,D,L4E,L,E,T,2
FL,34990,T1,34,H,B,L1F,L,F,T,1
other,67124,R2,46,U,D,L2F,L,F,R,2
CA,95212,T1,35,H,B,L2F,L,F,T,1
MO,64093,T2,40,U,D,L3D,L,D,T,2
CA,92683,S1,14,H,A,L2F,L,F,S,1
other,74501,T2,37,H,D,L1F,L,F,T,2
other,55345,S2,17,U,A,L2F,L,F,S,2
CA,92679,T1,35,H,A,L2G,L,G,T,1
CA,90638,S1,13,H,A,L3E,L,E,S,1
other,97801,T2,38,U,C,L2F,L,F,T,2
CA,90003,U4,10,U,A,L2F,L,F,U,4
FL,33055,S3,21,H,A,L2F,L,F,S,3
IL,62056,T3,41,H,D,L3E,L,E,T,3
other,85326,S3,21,H,A,L1F,L,F,S,3
FL,34608,T2,37,H,A,L1F,L,F,T,2
CA,95843,C1,24,U,B,L3G,L,G,C,1
TX,75019,C1,24,H,A,L3F,L,F,C,1
other,71483,R2,47,H,D,L1F,L,F,R,2
MI,49120,T2,36,H,C,L2F,L,F,T,2
other,73036,T2,36,H,B,L4D,L,D,T,2
IN,47441,T2,36,U,D,L3F,L,F,T,2
CA,95993,C2,27,U,C,L2E,L,E,C,2
other,34002,U4,10,U,U,L2G,L,G,U,4
GA,30047,S1,14,H,A,L1F,L,F,S,1
other,55117,S1,15,U,A,L1F,L,F,S,1
GA,30260,C2,25,H,A,L2F,L,F,C,2
MI,49601,T2,39,H,D,L1F,L,F,T,2
CA,95833,S1,15,U,B,L1F,L,F,S,1
WI,54162,R2,49,U,D,L1E,L,E,R,2
other,35773,R2,49,H,D,L4F,L,F,R,2
MI,49228,R2,45,H,C,L3E,L,E,R,2
MI,49707,T2,39,H,D,L1F,L,F,T,2
GA,30033,C1,23,H,A,L2E,L,E,C,1
TX,79936,U1,3,U,B,L4D,L,D,U,1
MO,64080,R2,43,H,B,L2F,L,F,R,2
IL,60014,T1,35,H,A,L1F,L,F,T,1
GA,30060,C2,27,H,A,L1F,L,F,C,2
NC,28056,C2,27,H,B,L1G,L,G,C,2
TX,77536,S2,18,H,A,L1G,L,G,S,2
IL,61744,R2,49,U,C,L4G,L,G,R,2
CA,93705,U2,5,H,B,L1F,L,F,U,2
other,66061,R2,46,H,B,L1F,L,F,R,2
other,70506,C2,27,H,C,L4D,L,D,C,2
CA,94526,C1,24,H,A,L2F,L,F,C,1
MI,48214,U4,10,U,A,L2F,L,F,U,4
NC,27536,T2,40,H,D,L1F,L,F,T,2
CA,94044,S1,15,U,A,L1F,L,F,S,1
other,85208,T3,41,H,A,L2F,L,F,T,3
WI,53212,U4,10,H,B,L3E,L,E,U,4
GA,30044,C1,24,H,A,L4F,L,F,C,1
IL,60477,S2,20,H,A,L1G,L,G,S,2
NC,28025-,S2,17,H,B,L1G,L,G,S,2
IL,60620,U3,8,H,A,L2G,L,G,U,3
CA,95949,T1,35,H,C,L1F,L,F,T,1
other,39530,C3,30,H,C,L1F,L,F,C,3
FL,32504,C2,25,U,B,L1F,L,F,C,2
TX,75208,C3,30,H,A,L2F,L,F,C,3
other,87110,U2,4,H,B,L2E,L,E,U,2
other,86442,C2,28,H,C,L2F,L,F,C,2
NC,27704,C2,26,H,B,L1F,L,F,C,2
WI,54911,C2,27,H,B,L1F,L,F,C,2
MI,48054,T2,37,U,A,L1F,L,F,T,2
CA,91786,U1,2,U,A,L1F,L,F,U,1
TX,79109,C1,24,H,C,L1F,L,F,C,1
IL,61821,C1,24,H,C,L1F,L,F,C,1
CA,94109,U1,1,U,A,L2E,L,E,U,1
other,37311,C3,30,H,C,L1F,L,F,C,3
WA,98548,R2,46,U,D,L2G,L,G,R,2
FL,33844,T2,37,H,B,L4F,L,F,T,2
FL,33428,C2,29,U,B,L2F,L,F,C,2
MO,64112,U1,3,U,B,L1G,L,G,U,1
NC,27263,R2,40,U,B,L1E,L,E,R,2
TX,75006,S1,14,H,A,L1G,L,G,S,1
WI,53910,R3,53,H,D,L1F,L,F,R,3
other,97219-,C1,24,U,B,L2F,L,F,C,1
MI,48035,S2,16,H,A,L1F,L,F,S,2
WA,98125-,S1,11,U,A,L1F,L,F,S,1
TX,76012,C1,22,H,A,L2E,L,E,C,1
other,37079,R2,43,U,D,L2E,L,E,R,2
other,51354,R3,53,U,D,L1G,L,G,R,3
CA,92220,T2,37,U,A,L1E,L,E,T,2
other,96744,S1,12,H,B,L2F,L,F,S,1
TX,79606,C1,24,H,C,L3F,L,F,C,1
MI,48433,T2,40,U,B,L2F,L,F,T,2
MI,49442,S3,21,H,C,L2F,L,F,S,3
IL,60172,S1,12,H,A,L1G,L,G,S,1
other,56326,R3,53,U,D,L4D,L,D,R,3
CA,95661,S1,12,H,B,L1F,L,F,S,1
TX,75672,T3,41,U,C,L2E,L,E,T,3
NC,27587,C1,24,H,B,L2F,L,F,C,1
WI,53154,S2,18,H,B,L1F,L,F,S,2
NC,27870,T2,36,U,C,L3F,L,F,T,2
other,38501,T2,36,H,D,L1F,L,F,T,2
other,37091,T3,41,H,D,L1E,L,E,T,3
CA,95820,U4,10,H,B,L2E,L,E,U,4
other,89448,R1,42,U,D,L1F,L,F,R,1
FL,33703,S1,12,U,A,L4D,L,D,S,1
other,38901,T3,41,H,D,L4D,L,D,T,3
MI,48141,S2,17,H,A,L3G,L,G,S,2
other,96745,R1,42,H,C,L1F,L,F,R,1
other,37379,T2,36,U,B,L3E,L,E,T,2
IL,60631-,U4,10,U,A,L1E,L,E,U,4
IL,62002,C2,28,H,A,L4G,L,G,C,2
WI,53222,S1,13,U,B,L1F,L,F,S,1
WA,98360,R2,44,H,A,L3E,L,E,R,2
CA,94040,S1,13,H,A,L2F,L,F,S,1
IL,60443,S2,16,H,A,L1G,L,G,S,2
other,38401,R2,44,U,C,L1G,L,G,R,2
other,37087,T2,36,H,B,L1F,L,F,T,2
WI,53719,S1,11,U,B,L2G,L,G,S,1
other,97504,C3,30,U,C,L4F,L,F,C,3
NC,27215,C3,32,H,C,L2E,L,E,C,3
WI,53550,R2,49,U,D,L2F,L,F,R,2
FL,33129,C2,28,U,A,L4D,L,D,C,2
IL,60047,S1,12,U,A,L4F,L,F,S,1
MI,48230,U1,2,H,A,L1F,L,F,U,1
CA,95376,C1,24,H,B,L1G,L,G,C,1
MI,48161,C2,27,U,A,L4D,L,D,C,2
CA,92543,C3,33,H,A,L1E,L,E,C,3
FL,34481,C2,29,H,C,L1F,L,F,C,2
CA,92625,S1,13,H,A,L1F,L,F,S,1
TX,77356,T1,34,H,A,L2F,L,F,T,1
other,37642,R2,43,H,B,L1F,L,F,R,2
IL,60617,U4,10,U,A,L2F,L,F,U,4
other,37643,T2,36,U,B,L1F,L,F,T,2
other,80537-,C1,24,H,C,L1F,L,F,C,1
CA,92084,C2,29,H,A,L1G,L,G,C,2
other,4364,T2,36,U,C,L1G,L,G,T,2
other,35117,R3,51,H,B,L1G,L,G,R,3
CA,94965,T1,35,U,A,L1E,L,E,T,1
other,97367,C2,28,U,D,L1F,L,F,C,2
TX,77511,T2,40,H,A,L1G,L,G,T,2
NC,28784,R2,49,U,C,L1G,L,G,R,2
FL,33162,U3,8,U,A,L2F,L,F,U,3
IL,60626,U1,3,U,A,L1F,L,F,U,1
other,55918-,R2,45,U,D,L3F,L,F,R,2
other,57006,C3,31,U,D,L1G,L,G,C,3
other,58102,C2,26,U,C,L3D,L,D,C,2
IL,61010,R2,46,H,D,L2F,L,F,R,2
IN,47714,C2,27,H,B,L2F,L,F,C,2
other,85715,S1,12,H,B,L4D,L,D,S,1
MI,49068,R2,44,H,C,L2F,L,F,R,2
CA,93535,C3,30,H,A,L3E,L,E,C,3
other,80465,T1,35,U,B,L4E,L,E,T,1
CA,95409,C2,26,U,A,L4D,L,D,C,2
IN,47905,C2,27,U,C,L2F,L,F,C,2
WI,53151,S1,12,U,B,L2E,L,E,S,1
CA,92336,S2,18,H,A,L1G,L,G,S,2
other,80501,T1,35,H,B,L3E,L,E,T,1
CA,94040-,S1,15,H,A,L1G,L,G,S,1
other,72103,T2,39,H,B,L3E,L,E,T,2
NC,27970,R3,50,U,D,L1F,L,F,R,3
other,72032,R2,45,H,B,L4F,L,F,R,2
other,36907,R3,50,H,D,L4D,L,D,R,3
FL,33437-,S2,17,U,B,L4E,L,E,S,2
TX,77657,R2,40,H,B,L1G,L,G,R,2
other,85023,U2,7,U,A,L1F,L,F,U,2
other,88352,R2,43,U,D,L4E,L,E,R,2
other,73501,T2,36,H,C,L1G,L,G,T,2
other,96251,U4,10,U,U,L2G,L,G,U,4
CA,90046,U1,3,H,A,L4G,L,G,U,1
MI,49335,R2,44,U,C,L1G,L,G,R,2
FL,33125,U4,10,U,A,L1F,L,F,U,4
other,35811,C2,27,H,B,L4D,L,D,C,2
MI,49525,R2,40,U,B,L2F,L,F,R,2
other,97754,R2,45,H,D,L1F,L,F,R,2
NC,28270,C3,31,U,B,L1G,L,G,C,3
other,66101,C3,30,U,B,L1F,L,F,C,3
CA,90703,U1,2,H,A,L1F,L,F,U,1
MI,49071,R2,44,H,C,L1E,L,E,R,2
other,52225,R3,51,U,D,L2F,L,F,R,3
other,80003,S2,16,U,B,L1F,L,F,S,2
FL,33177,S3,21,H,A,L3F,L,F,S,3
MO,63127,S1,13,H,A,L1F,L,F,S,1
other,80103,R2,44,U,B,L1F,L,F,R,2
FL,34465,C2,29,H,C,L4D,L,D,C,2
MI,48126,R2,40,U,A,L1F,L,F,R,2
other,86351,R2,40,U,C,L4F,L,F,R,2
WA,98072,T1,35,H,A,L1F,L,F,T,1
other,80022,C3,30,H,B,L1F,L,F,C,3
other,67865,R2,45,U,D,L1F,L,F,R,2
other,67212,S2,17,U,B,L1F,L,F,S,2
CA,95125,U1,1,U,A,L3D,L,D,U,1
other,74464,T2,36,H,D,L3F,L,F,T,2
CA,91719,U2,5,U,A,L4D,L,D,U,2
other,97132,T2,36,U,B,L1F,L,F,T,2
IN,47933,T2,37,U,D,L2F,L,F,T,2
CA,95018,T1,34,H,A,L3E,L,E,T,1
TX,77905,R2,44,U,C,L4E,L,E,R,2
WI,53118,T1,35,H,B,L1F,L,F,T,1
CA,92056,S2,20,H,A,L1F,L,F,S,2
CA,92057,C3,33,H,A,L1G,L,G,C,3
CA,95630,S2,20,H,B,L3F,L,F,S,2
IL,61265,C3,31,U,B,L1E,L,E,C,3
MO,64129,S3,21,H,B,L3F,L,F,S,3
FL,32110,R2,46,H,D,L2F,L,F,R,2
CA,93065,C1,24,H,A,L2F,L,F,C,1
TX,75667,R3,53,H,D,L1F,L,F,R,3
GA,30310,U3,8,H,A,L1G,L,G,U,3
CA,91780,U1,2,U,A,L2F,L,F,U,1
CA,95901,C3,31,U,C,L1G,L,G,C,3
CA,90603,S1,13,H,A,L1E,L,E,S,1
MO,63901,T2,36,U,D,L1E,L,E,T,2
other,97355,R2,44,U,C,L4G,L,G,R,2
WA,98383,S1,12,U,C,L1G,L,G,S,1
other,73801,T2,36,U,D,L2F,L,F,T,2
MI,48116,T2,40,U,A,L1F,L,F,T,2
other,80241,S2,17,H,B,L3E,L,E,S,2
other,42748,R2,43,H,D,L1G,L,G,R,2
other,99516,T1,35,U,C,L3F,L,F,T,1
WA,98155,S2,20,H,A,L1E,L,E,S,2
other,68017-,R2,40,U,D,L1F,L,F,R,2
CA,92139,U3,8,H,A,L1F,L,F,U,3
TX,78242,S3,21,H,B,L1F,L,F,S,3
GA,30314,C3,32,U,A,L4D,L,D,C,3
NC,28208,S2,17,H,B,L1F,L,F,S,2
GA,30179,R2,43,H,C,L1F,L,F,R,2
IN,47396,T2,39,H,C,L3G,L,G,T,2
NC,28052,C3,30,U,B,L1F,L,F,C,3
CA,93550,C2,27,U,A,L1E,L,E,C,2
WA,98292,C2,28,H,C,L1F,L,F,C,2
MI,48313,S2,20,U,A,L3E,L,E,S,2
FL,33156,S1,12,H,A,L1G,L,G,S,1
CA,93035,S1,11,H,A,L1G,L,G,S,1
CA,92507,S1,11,U,A,L1G,L,G,S,1
other,89128,C1,24,H,B,L3E,L,E,C,1
MO,65452,R2,43,U,D,L1F,L,F,R,2
other,39465,R2,49,U,C,L4D,L,D,R,2
IN,47335,R3,51,U,C,L3E,L,E,R,3
TX,78801,T2,36,H,D,L1F,L,F,T,2
other,55396,R2,45,H,D,L1F,L,F,R,2
IL,60139,S2,18,H,A,L1F,L,F,S,2
TX,78727,S2,18,H,B,L1E,L,E,S,2
CA,93401,C1,24,U,C,L1F,L,F,C,1
FL,33761-,S2,20,U,A,L2G,L,G,S,2
FL,32244,S2,18,U,B,L3E,L,E,S,2
IL,60429-,S2,16,U,A,L1G,L,G,S,2
GA,30349,S2,17,H,A,L1G,L,G,S,2
MI,48079,T2,36,U,A,L1F,L,F,T,2
MI,49442,C3,31,U,C,L1G,L,G,C,3
CA,94063,S2,17,U,A,L3E,L,E,S,2
other,73075,R2,45,U,D,L1F,L,F,R,2
CA,92021,S2,20,H,A,L4E,L,E,S,2
other,86045,R3,51,H,C,L4D,L,D,R,3
IL,62656,T2,40,U,D,L4D,L,D,T,2
CA,95926,R2,46,U,C,L3E,L,E,R,2
WA,98125,U1,2,H,A,L1G,L,G,U,1
other,84121,S1,14,H,B,L1G,L,G,S,1
FL,33617,S1,15,U,A,L4F,L,F,S,1
IL,61864,R2,44,U,C,L2E,L,E,R,2
other,74075,T2,39,H,C,L1F,L,F,T,2
TX,78721,C3,32,H,B,L1F,L,F,C,3
other,68701,T1,35,H,D,L2F,L,F,T,1
IL,60025,S1,13,H,A,L1F,L,F,S,1
CA,93705,U2,7,H,B,L1F,L,F,U,2
NC,28717,C2,28,U,D,L1F,L,F,C,2
other,59221,R3,51,U,D,L1F,L,F,R,3
other,50501,T3,41,U,D,L1F,L,F,T,3
other,37686,R2,46,H,B,L1F,L,F,R,2
MO,64134,S2,20,H,B,L1F,L,F,S,2
CA,90732,S1,11,U,A,L3E,L,E,S,1
IL,60558,S1,13,H,A,L3E,L,E,S,1
other,70123,C3,31,H,B,L1F,L,F,C,3
MO,63376,C2,27,H,A,L4D,L,D,C,2
other,55744,R2,40,H,D,L2G,L,G,R,2
other,55066,T2,36,U,D,L2E,L,E,T,2
other,38651,T2,40,H,B,L2F,L,F,T,2
other,66043-,C2,27,U,B,L2F,L,F,C,2
WA,98942,R2,44,H,C,L3G,L,G,R,2
TX,77091,S2,20,H,A,L3E,L,E,S,2
IL,60628,U1,2,H,A,L1F,L,F,U,1
CA,94123,U1,1,U,A,L2E,L,E,U,1
MO,63119,U2,5,H,A,L1F,L,F,U,2
FL,33415,S2,20,H,B,L3E,L,E,S,2
other,56172,R2,48,H,D,L1E,L,E,R,2
GA,30152,R2,40,H,A,L1G,L,G,R,2
other,68847-,R2,46,U,D,L2E,L,E,R,2
